timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
335120538,1,1,1,0,0,0,0,0
335626610,1,1,1,0,0,0,0,0
336134498,1,1,1,0,0,0,0,0
336640650,1,1,1,0,0,0,0,0
337146569,1,1,1,0,0,0,0,0
337654497,1,1,1,0,0,0,0,0
338162865,1,1,1,0,0,0,0,0
338669849,1,1,1,0,0,0,0,0
339175500,1,1,1,0,0,0,0,0
339681990,1,1,1,0,0,0,0,0
340189477,1,1,1,0,0,0,0,0
340689608,1,1,1,0,0,0,0,0
341199514,1,1,1,0,0,0,0,0
341708442,1,1,1,0,0,0,0,0
342216493,1,1,1,0,0,0,0,0
342723505,1,1,1,0,0,0,0,0
343230476,1,1,1,0,0,0,0,0
343737080,1,1,1,0,0,0,0,0
344243502,1,1,1,0,0,0,0,0
344749707,1,1,1,0,0,0,0,0
345257478,1,1,1,0,0,0,0,0
345763496,1,1,1,0,0,0,0,0
346271477,1,1,1,0,0,0,0,0
346779606,1,1,1,0,0,0,0,0
347285477,1,1,1,0,0,0,0,0
347791519,1,1,1,0,0,0,0,0
348298629,1,1,1,0,0,0,0,0
348805477,1,1,1,0,0,0,0,0
349313824,1,1,1,0,0,0,0,0
349821477,1,1,1,0,0,0,0,0
350329478,1,1,1,0,0,0,0,0
350836671,1,1,1,0,0,0,0,0
351344504,1,1,1,0,0,0,0,0
351851492,1,1,1,0,0,0,0,0
352358602,1,1,1,0,0,0,0,0
352865517,1,1,1,0,0,0,0,0
353371746,1,1,1,0,0,0,0,0
353880557,1,1,1,0,0,0,0,0
354387532,1,1,1,0,0,0,0,0
354896392,1,1,1,0,0,0,0,0
355403840,1,1,1,0,0,0,0,0
355910522,1,1,1,0,0,0,0,0
356417786,1,1,1,0,0,0,0,0
356926513,1,1,1,0,0,0,0,0
357435478,1,1,1,0,0,0,0,0
357898500,1,1,1,0,0,0,0,0
358405479,1,1,1,0,0,0,0,0
358912579,1,1,1,0,0,0,0,0
359419499,1,1,1,0,0,0,0,0
359927479,1,1,1,0,0,0,0,0
360436293,1,1,1,0,0,0,0,0
360946056,1,1,1,0,0,0,0,0
361451498,1,1,1,0,0,0,0,0
361959724,1,1,1,0,0,0,0,0
362467192,1,1,1,0,0,0,0,0
362973495,1,1,1,0,0,0,0,0
363325486,1,1,1,0,0,0,0,1
363831842,1,1,1,0,0,0,0,1
364338513,1,1,1,0,0,0,0,1
364844494,1,1,1,0,0,0,0,1
365350494,1,1,1,0,0,0,0,1
365857499,1,1,1,0,0,0,0,1
366363532,1,1,1,0,0,0,0,1
366870687,1,1,1,0,0,0,0,1
367376513,1,1,1,0,0,0,0,1
367883474,1,1,1,0,0,0,0,1
368389595,1,1,1,0,0,0,0,1
368896607,1,1,1,0,0,0,0,1
369402492,1,1,1,0,0,0,0,1
369908525,1,1,1,0,0,0,0,1
370415946,1,1,1,0,0,0,0,1
370921475,1,1,1,0,0,0,0,1
371428706,1,1,1,0,0,0,0,1
371934492,1,1,1,0,0,0,0,1
372440552,1,1,1,0,0,0,0,1
372947394,1,1,1,0,0,0,0,1
373455496,1,1,1,0,0,0,0,1
373962521,1,1,1,0,0,0,0,1
374469474,1,1,1,0,0,0,0,1
374976590,1,1,1,0,0,0,0,1
375483553,1,1,1,0,0,0,0,1
375989566,1,1,1,0,0,0,0,1
376496545,1,1,1,0,0,0,0,1
377003474,1,1,1,0,0,0,0,1
377511474,1,1,1,0,0,0,0,1
378020425,1,1,1,0,0,0,0,1
378527246,1,1,1,0,0,0,0,1
379032497,1,1,1,0,0,0,0,1
379538780,1,1,1,0,0,0,0,1
380044523,1,1,1,0,0,0,0,1
380550514,1,1,1,0,0,0,0,1
381057732,1,1,1,0,0,0,0,1
381564756,1,1,1,0,0,0,0,1
382071492,1,1,1,0,0,0,0,1
382577494,1,1,1,0,0,0,0,1
383084619,1,1,1,0,0,0,0,1
383590701,1,1,1,0,0,0,0,1
384096493,1,1,1,0,0,0,0,1
384602476,1,1,1,0,0,0,0,1
385109475,1,1,1,0,0,0,0,1
385616475,1,1,1,0,0,0,0,1
386122524,1,1,1,0,0,0,0,1
386629917,1,1,1,0,0,0,0,1
387135476,1,1,1,0,0,0,0,1
387641578,1,1,1,0,0,0,0,1
388149495,1,1,1,0,0,0,0,1
388656587,1,1,1,0,0,0,0,1
389164493,1,1,1,0,0,0,0,1
389671515,1,1,1,0,0,0,0,1
390177669,1,1,1,0,0,0,0,1
390684825,1,1,1,0,0,0,0,1
391192494,1,1,1,0,0,0,0,1
391700495,1,1,1,0,0,0,0,1
392207476,1,1,1,0,0,0,0,1
392714033,1,1,1,0,0,0,0,1
393220495,1,1,1,0,0,0,0,1
393729476,1,1,1,0,0,0,0,1
394235755,1,1,1,0,0,0,0,1
394741495,1,1,1,0,0,0,0,1
395248065,1,1,1,0,0,0,0,1
395754810,1,1,1,0,0,0,0,1
396260474,1,1,1,0,0,0,0,1
396767217,1,1,1,0,0,0,0,1
397272474,1,1,1,0,0,0,0,1
397779493,1,1,1,0,0,0,0,1
398286476,1,1,1,0,0,0,0,1
398792501,1,1,1,0,0,0,0,1
399298526,1,1,1,0,0,0,0,1
399804495,1,1,1,0,0,0,0,1
400311528,1,1,1,0,0,0,0,1
400818474,1,1,1,0,0,0,0,1
401325500,1,1,1,0,0,0,0,1
401831680,1,1,1,0,0,0,0,1
402337475,1,1,1,0,0,0,0,1
402843901,1,1,1,0,0,0,0,1
403349523,1,1,1,0,0,0,0,1
403856010,1,1,1,0,0,0,0,1
404361655,1,1,1,0,0,0,0,1
404867474,1,1,1,0,0,0,0,1
405374500,1,1,1,0,0,0,0,1
405880634,1,1,1,0,0,0,0,1
406388512,1,1,1,0,0,0,0,1
406898953,1,1,1,0,0,0,0,1
407404476,1,1,1,0,0,0,0,1
407911618,1,1,1,0,0,0,0,1
408417881,1,1,1,0,0,0,0,1
408924558,1,1,1,0,0,0,0,1
409430498,1,1,1,0,0,0,0,1
409937500,1,1,1,0,0,0,0,1
410443493,1,1,1,0,0,0,0,1
410949638,1,1,1,0,0,0,0,1
411455476,1,1,1,0,0,0,0,1
411961682,1,1,1,0,0,0,0,1
412468475,1,1,1,0,0,0,0,1
412975485,1,1,1,0,0,0,0,1
413481520,1,1,1,0,0,0,0,1
413988475,1,1,1,0,0,0,0,1
414494501,1,1,1,0,0,0,0,1
415000476,1,1,1,0,0,0,0,1
415506570,1,1,1,0,0,0,0,1
416012498,1,1,1,0,0,0,0,1
416518868,1,1,1,0,0,0,0,1
417026519,1,1,1,0,0,0,0,1
417533967,1,1,1,0,0,0,0,1
418041492,1,1,1,0,0,0,0,1
418548233,1,1,1,0,0,0,0,1
419053475,1,1,1,0,0,0,0,1
419559564,1,1,1,0,0,0,0,1
420065498,1,1,1,0,0,0,0,1
420571494,1,1,1,0,0,0,0,1
421077496,1,1,1,0,0,0,0,1
421583535,1,1,1,0,0,0,0,1
422089532,1,1,1,0,0,0,0,1
422596718,1,1,1,0,0,0,0,1
423102930,1,1,1,0,0,0,0,1
423610704,1,1,1,0,0,0,0,1
424117499,1,1,1,0,0,0,0,1
424625136,1,1,1,0,0,0,0,1
425132186,1,1,1,0,0,0,0,1
425637495,1,1,1,0,0,0,0,1
426144493,1,1,1,0,0,0,0,1
426652474,1,1,1,0,0,0,0,1
427158495,1,1,1,0,0,0,0,1
427665493,1,1,1,0,0,0,0,1
428172473,1,1,1,0,0,0,0,1
428678475,1,1,1,0,0,0,0,1
429184474,1,1,1,0,0,0,0,1
429690495,1,1,1,0,0,0,0,1
430197475,1,1,1,0,0,0,0,1
430704475,1,1,1,0,0,0,0,1
431210674,1,1,1,0,0,0,0,1
431717982,1,1,1,0,0,0,0,1
432223517,1,1,1,0,0,0,0,1
432729999,1,1,1,0,0,0,0,1
433237476,1,1,1,0,0,0,0,1
433744731,1,1,1,0,0,0,0,1
434251916,1,1,1,0,0,0,0,1
434757628,1,1,1,0,0,0,0,1
435263566,1,1,1,0,0,0,0,1
435769499,1,1,1,0,0,0,0,1
436277103,1,1,1,0,0,0,0,1
436783493,1,1,1,0,0,0,0,1
437290475,1,1,1,0,0,0,0,1
437797475,1,1,1,0,0,0,0,1
438303502,1,1,1,0,0,0,0,1
438809493,1,1,1,0,0,0,0,1
439316609,1,1,1,0,0,0,0,1
439824526,1,1,1,0,0,0,0,1
440331496,1,1,1,0,0,0,0,1
440837476,1,1,1,0,0,0,0,1
441344495,1,1,1,0,0,0,0,1
441850501,1,1,1,0,0,0,0,1
442356524,1,1,1,0,0,0,0,1
442863475,1,1,1,0,0,0,0,1
443370497,1,1,1,0,0,0,0,1
443876939,1,1,1,0,0,0,0,1
444383668,1,1,1,0,0,0,0,1
444889494,1,1,1,0,0,0,0,1
445396045,1,1,1,0,0,0,0,1
445903474,1,1,1,0,0,0,0,1
446409493,1,1,1,0,0,0,0,1
446915474,1,1,1,0,0,0,0,1
447422500,1,1,1,0,0,0,0,1
447928513,1,1,1,0,0,0,0,1
448435543,1,1,1,0,0,0,0,1
448944088,1,1,1,0,0,0,0,1
449450540,1,1,1,0,0,0,0,1
449957493,1,1,1,0,0,0,0,1
450463494,1,1,1,0,0,0,0,1
450969495,1,1,1,0,0,0,0,1
451476521,1,1,1,0,0,0,0,1
451985011,1,1,1,0,0,0,0,1
452490530,1,1,1,0,0,0,0,1
452996762,1,1,1,0,0,0,0,1
453502475,1,1,1,0,0,0,0,1
454008475,1,1,1,0,0,0,0,1
454514499,1,1,1,0,0,0,0,1
455021007,1,1,1,0,0,0,0,1
455527641,1,1,1,0,0,0,0,1
456035008,1,1,1,0,0,0,0,1
456540570,1,1,1,0,0,0,0,1
457047494,1,1,1,0,0,0,0,1
457554493,1,1,1,0,0,0,0,1
458060474,1,1,1,0,0,0,0,1
458566474,1,1,1,0,0,0,0,1
459072529,1,1,1,0,0,0,0,1
459578536,1,1,1,0,0,0,0,1
460087935,1,1,1,0,0,0,0,1
460595112,1,1,1,0,0,0,0,1
461101498,1,1,1,0,0,0,0,1
461608495,1,1,1,0,0,0,0,1
462114597,1,1,1,0,0,0,0,1
462620476,1,1,1,0,0,0,0,1
463127499,1,1,1,0,0,0,0,1
463633659,1,1,1,0,0,0,0,1
464139494,1,1,1,0,0,0,0,1
464645710,1,1,1,0,0,0,0,1
465151493,1,1,1,0,0,0,0,1
465657476,1,1,1,0,0,0,0,1
466163476,1,1,1,0,0,0,0,1
466671734,1,1,1,0,0,0,0,1
467178791,1,1,1,0,0,0,0,1
467684475,1,1,1,0,0,0,0,1
468191473,1,1,1,0,0,0,0,1
468698906,1,1,1,0,0,0,0,1
469205730,1,1,1,0,0,0,0,1
469711505,1,1,1,0,0,0,0,1
470219688,1,1,1,0,0,0,0,1
470725475,1,1,1,0,0,0,0,1
471231517,1,1,1,0,0,0,0,1
471738565,1,1,1,0,0,0,0,1
472245523,1,1,1,0,0,0,0,1
472752747,1,1,1,0,0,0,0,1
473259473,1,1,1,0,0,0,0,1
473766030,1,1,1,0,0,0,0,1
474271780,1,1,1,0,0,0,0,1
474777495,1,1,1,0,0,0,0,1
475283505,1,1,1,0,0,0,0,1
475789476,1,1,1,0,0,0,0,1
476295494,1,1,1,0,0,0,0,1
476802488,1,1,1,0,0,0,0,1
477309857,1,1,1,0,0,0,0,1
477815830,1,1,1,0,0,0,0,1
478321493,1,1,1,0,0,0,0,1
478828590,1,1,1,0,0,0,0,1
479335326,1,1,1,0,0,0,0,1
479840493,1,1,1,0,0,0,0,1
480347964,1,1,1,0,0,0,0,1
480853495,1,1,1,0,0,0,0,1
481360498,1,1,1,0,0,0,0,1
481867584,1,1,1,0,0,0,0,1
482374524,1,1,1,0,0,0,0,1
482881475,1,1,1,0,0,0,0,1
483389522,1,1,1,0,0,0,0,1
483896518,1,1,1,0,0,0,0,1
484402474,1,1,1,0,0,0,0,1
484909475,1,1,1,0,0,0,0,1
485415474,1,1,1,0,0,0,0,1
485921495,1,1,1,0,0,0,0,1
486427499,1,1,1,0,0,0,0,1
486933528,1,1,1,0,0,0,0,1
487439712,1,1,1,0,0,0,0,1
487948194,1,1,1,0,0,0,0,1
488453474,1,1,1,0,0,0,0,1
488959639,1,1,1,0,0,0,0,1
489466959,1,1,1,0,0,0,0,1
489972665,1,1,1,0,0,0,0,1
490479476,1,1,1,0,0,0,0,1
490986630,1,1,1,0,0,0,0,1
491492476,1,1,1,0,0,0,0,1
491998515,1,1,1,0,0,0,0,1
492506520,1,1,1,0,0,0,0,1
493013317,1,1,1,0,0,0,0,1
493518515,1,1,1,0,0,0,0,1
494027509,1,1,1,0,0,0,0,1
494533525,1,1,1,0,0,0,0,1
495040524,1,1,1,0,0,0,0,1
495548610,1,1,1,0,0,0,0,1
496054477,1,1,1,0,0,0,0,1
496560474,1,1,1,0,0,0,0,1
497066517,1,1,1,0,0,0,0,1
497573494,1,1,1,0,0,0,0,1
498079475,1,1,1,0,0,0,0,1
498586476,1,1,1,0,0,0,0,1
499093497,1,1,1,0,0,0,0,1
499600493,1,1,1,0,0,0,0,1
500107646,1,1,1,0,0,0,0,1
500613493,1,1,1,0,0,0,0,1
501119541,1,1,1,0,0,0,0,1
501625498,1,1,1,0,0,0,0,1
502131494,1,1,1,0,0,0,0,1
502637501,1,1,1,0,0,0,0,1
503144897,1,1,1,0,0,0,0,1
503652076,1,1,1,0,0,0,0,1
504157528,1,1,1,0,0,0,0,1
504663702,1,1,1,0,0,0,0,1
505169476,1,1,1,0,0,0,0,1
505676505,1,1,1,0,0,0,0,1
506182474,1,1,1,0,0,0,0,1
506689522,1,1,1,0,0,0,0,1
