timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
335332466,1,0,0,0,0
335337595,1,0,0,0,0
335533867,1,0,0,0,0
335732694,1,0,0,0,0
335936591,1,0,0,0,0
336135474,1,0,0,0,0
336334414,1,0,0,0,0
336533332,1,0,0,0,0
336732199,1,0,0,0,0
336933674,1,0,0,0,0
337132549,1,0,0,0,0
337336471,1,0,0,0,0
337535404,1,0,0,0,0
337734334,1,0,0,0,0
337933159,1,0,0,0,0
338134535,1,0,0,0,0
338333531,1,0,0,0,0
338532406,1,0,0,0,0
338736281,1,0,0,0,0
338935203,1,0,0,0,0
339134158,1,0,0,0,0
339333055,1,0,0,0,0
339534436,1,0,0,0,0
339733323,1,0,0,0,0
339932295,1,0,0,0,0
340136262,1,0,0,0,0
340335028,1,0,0,0,0
340533973,1,0,0,0,0
340732912,1,0,0,0,0
340934288,1,0,0,0,0
341133202,1,0,0,0,0
341332084,1,0,0,0,0
341535943,1,0,0,0,0
341734890,1,0,0,0,0
341933766,1,0,0,0,0
342132715,1,0,0,0,0
342334170,1,0,0,0,0
342533067,1,0,0,0,0
342731946,1,0,0,0,0
342935864,1,0,0,0,0
343134738,1,0,0,0,0
343333681,1,0,0,0,0
343534990,1,0,0,0,0
343733938,1,0,0,0,0
343932871,1,0,0,0,0
344131852,1,0,0,0,0
344335671,1,0,0,0,0
344534675,1,0,0,0,0
344733642,1,0,0,0,0
344935043,1,0,0,0,0
345134077,1,0,0,0,0
345332985,1,0,0,0,0
345531960,1,0,0,0,0
345735809,1,0,0,0,0
345934807,1,0,0,0,0
346133796,1,0,0,0,0
346335128,1,0,0,0,0
346533656,1,0,0,0,0
346732610,1,0,0,0,0
346931438,1,0,0,0,0
347135324,1,0,0,0,0
347334276,1,0,0,0,0
347535628,1,0,0,0,0
347734532,1,0,0,0,0
347933518,1,0,0,0,0
348132404,1,0,0,0,0
348331287,1,0,0,0,0
348535178,1,0,0,0,0
348734074,1,0,0,0,0
348935509,1,0,0,0,0
349134417,1,0,0,0,0
349333324,1,0,0,0,0
349532276,1,0,0,0,0
349733678,1,0,0,0,0
349935059,1,0,0,0,0
350133979,1,0,0,0,0
350335372,1,0,0,0,0
350534235,1,0,0,0,0
350733129,1,0,0,0,0
350932026,1,0,0,0,0
351133443,1,0,0,0,0
351334850,1,0,0,0,0
351533758,1,0,0,0,0
351735200,1,0,0,0,0
351934164,1,0,0,0,0
352133055,1,0,0,0,0
