timestamp,airspeed_filtered,mc_weights[0],mc_weights[1],mc_weights[2],mc_weights[3],vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
11420613,-0.17043984,1.0,1.0,1.0,1.0,1,0,0,0,0
11425576,-0.17043984,1.0,1.0,1.0,1.0,1,0,0,0,0
11624518,-0.090561174,1.0,1.0,1.0,1.0,1,0,0,0,0
11823386,-0.22459632,1.0,1.0,1.0,1.0,1,0,0,0,0
12022215,-0.1869083,1.0,1.0,1.0,1.0,1,0,0,0,0
12223608,-0.11680628,1.0,1.0,1.0,1.0,1,0,0,0,0
12422618,-0.1489731,1.0,1.0,1.0,1.0,1,0,0,0,0
12621440,-0.08894549,1.0,1.0,1.0,1.0,1,0,0,0,0
12825359,0.26583943,1.0,1.0,1.0,1.0,1,0,0,0,0
13024233,0.36081198,1.0,1.0,1.0,1.0,1,0,0,0,0
13223182,0.36642238,1.0,1.0,1.0,1.0,1,0,0,0,0
13422130,0.70823467,1.0,1.0,1.0,1.0,1,0,0,0,0
13623487,0.48193452,1.0,1.0,1.0,1.0,1,0,0,0,0
13822385,0.010423218,1.0,1.0,1.0,1.0,1,0,0,0,0
14021263,0.42197868,1.0,1.0,1.0,1.0,1,0,0,0,0
14424087,-0.43173528,1.0,1.0,1.0,1.0,1,0,0,0,0
14623052,-0.697122,1.0,1.0,1.0,1.0,1,0,0,0,0
14821976,-0.9601064,1.0,1.0,1.0,1.0,1,0,0,0,0
15023443,-0.6524286,1.0,1.0,1.0,1.0,1,0,0,0,0
15222393,-0.5391876,1.0,1.0,1.0,1.0,1,0,0,0,0
15421387,-0.43083817,1.0,1.0,1.0,1.0,1,0,0,0,0
15625189,-0.69645643,1.0,1.0,1.0,1.0,1,0,0,0,0
15824158,-0.99870896,1.0,1.0,1.0,1.0,1,0,0,0,0
16023117,-0.81051326,1.0,1.0,1.0,1.0,1,0,0,0,0
16224544,-0.5141089,1.0,1.0,1.0,1.0,1,0,0,0,0
16423520,-0.38712183,1.0,1.0,1.0,1.0,1,0,0,0,0
16622554,-0.26396236,1.0,1.0,1.0,1.0,1,0,0,0,0
16821477,-0.16775048,1.0,1.0,1.0,1.0,1,0,0,0,0
17025342,-0.12017651,1.0,1.0,1.0,1.0,1,0,0,0,0
17224308,-0.59097844,1.0,1.0,1.0,1.0,1,0,0,0,0
17422643,-0.43996668,1.0,1.0,1.0,1.0,1,0,0,0,0
17624158,-0.65373915,1.0,1.0,1.0,1.0,1,0,0,0,0
17822967,-0.5297987,1.0,1.0,1.0,1.0,1,0,0,0,0
18021847,-0.348258,1.0,1.0,1.0,1.0,1,0,0,0,0
18220858,-0.6756902,1.0,1.0,1.0,1.0,1,0,0,0,0
18422201,-0.59032935,1.0,1.0,1.0,1.0,1,0,0,0,0
18623584,-0.5257779,1.0,1.0,1.0,1.0,1,0,0,0,0
